time,x,y,in_or_out
0.0,385.6905671623482,1,0
1.0,368.7759402626929,1,0
2.0,351.86131336303765,1,0
3.0,334.9466864633824,1,0
4.0,318.0320595637271,1,0
5.0,301.1174326640718,1,0
6.0,284.20280576441655,1,0
7.0,267.2881788647613,1,0
8.0,250.37355196510597,1,0
9.0,233.45892506545067,1,1
10.0,216.54429816579537,1,1
11.0,199.62967126614006,1,2
12.0,182.71504436648476,1,2
13.0,165.80041746682946,1,2
14.0,148.88579056717415,1,2
15.0,131.97116366751885,1,2
16.0,115.05653676786355,1,2
17.0,98.14190986820824,1,2
18.0,81.22728296855294,1,2
19.0,64.31265606889764,1,2
20.0,47.398029169242335,1,2
21.0,30.483402269587035,1,2
22.0,13.568775369931735,1,2
23.0,996.6541484702765,1,2
24.0,979.7395215706212,1,2
25.0,962.8248946709658,1,2
26.0,945.9102677713105,1,2
27.0,928.9956408716552,1,2
28.0,912.0810139719998,1,2
29.0,895.1663870723445,1,2
30.0,878.2517601726892,1,2
31.0,861.3371332730338,1,2
32.0,844.4225063733785,1,2
33.0,827.5078794737232,1,2
34.0,810.5932525740678,1,2
35.0,793.6786256744125,1,1
36.0,776.7639987747572,1,1
37.0,759.8493718751018,1,1
38.0,742.9347449754465,1,0
39.0,726.0201180757912,1,0
40.0,709.1054911761358,1,0
41.0,692.1908642764805,1,0
42.0,675.2762373768252,1,0
43.0,658.3616104771698,1,0
44.0,641.4469835775145,1,0
45.0,624.5323566778592,1,0
46.0,607.6177297782039,1,0
47.0,590.7031028785485,1,0
48.0,573.7884759788932,1,0
49.0,556.8738490792379,1,0
50.0,539.9592221795825,1,0
51.0,523.0445952799272,1,0
52.0,506.1299683802719,1,0
53.0,489.21534148061664,1,0
54.0,472.30071458096137,1,0
55.0,455.3860876813061,1,0
56.0,438.4714607816508,1,0
57.0,421.55683388199554,1,0
58.0,404.64220698234027,1,0
59.0,387.727580082685,1,0
60.0,370.8129531830297,1,0
61.0,353.89832628337444,1,0
62.0,336.98369938371917,1,0
63.0,320.0690724840639,1,0
64.0,303.1544455844086,1,0
65.0,286.23981868475335,1,0
66.0,269.32519178509807,1,0
67.0,252.41056488544277,1,0
68.0,235.49593798578746,1,1
69.0,218.58131108613216,1,1
70.0,201.66668418647686,1,1
71.0,184.75205728682155,1,2
72.0,167.83743038716625,1,2
73.0,150.92280348751095,1,2
74.0,134.00817658785564,1,2
75.0,117.09354968820034,1,2
76.0,100.17892278854504,1,2
77.0,83.26429588888973,1,2
78.0,66.34966898923443,1,2
79.0,49.43504208957913,1,2
80.0,32.520415189923824,1,2
81.0,15.605788290268524,1,2
82.0,998.6911613906133,1,2
83.0,981.7765344909579,1,2
84.0,964.8619075913026,1,2
85.0,947.9472806916473,1,2
86.0,931.032653791992,1,2
87.0,914.1180268923366,1,2
88.0,897.2033999926813,1,2
89.0,880.288773093026,1,2
90.0,863.3741461933706,1,2
91.0,846.4595192937153,1,2
92.0,829.54489239406,1,2
93.0,812.6302654944046,1,2
94.0,795.7156385947493,1,1
95.0,778.801011695094,1,1
96.0,761.8863847954386,1,1
97.0,744.9717578957833,1,0
98.0,728.057130996128,1,0
99.0,711.1425040964726,1,0
