time,x,y,in_or_out
0.0,844.2016087174366,0,2
1.0,861.5871847372415,0,2
2.0,878.9727607570464,0,2
3.0,896.3583367768514,0,2
4.0,913.7439127966563,0,2
5.0,931.1294888164613,0,2
6.0,948.5150648362662,0,2
7.0,965.9006408560712,0,2
8.0,983.2862168758761,0,2
9.0,0.671792895681051,0,2
10.0,18.05736891548596,0,2
11.0,35.44294493529087,0,2
12.0,52.828520955095776,0,2
13.0,70.21409697490068,0,2
14.0,87.5996729947056,0,2
15.0,104.98524901451052,0,2
16.0,122.37082503431543,0,2
17.0,139.75640105412035,0,2
18.0,157.14197707392526,0,2
19.0,174.52755309373018,0,2
20.0,191.9131291135351,0,2
21.0,209.29870513334,0,1
22.0,226.68428115314492,0,1
23.0,244.06985717294984,0,1
24.0,261.45543319275475,0,0
25.0,278.84100921255964,0,0
26.0,296.2265852323645,0,0
27.0,313.6121612521694,0,0
28.0,330.9977372719743,0,0
29.0,348.3833132917792,0,0
30.0,365.7688893115841,0,0
31.0,383.15446533138896,0,0
32.0,400.54004135119385,0,0
33.0,417.92561737099874,0,0
34.0,435.3111933908036,0,0
35.0,452.6967694106085,0,0
36.0,470.0823454304134,0,0
37.0,487.4679214502183,0,0
38.0,504.85349747002317,0,0
39.0,522.2390734898281,0,0
40.0,539.6246495096331,0,0
41.0,557.010225529438,0,0
42.0,574.395801549243,0,0
43.0,591.7813775690479,0,0
44.0,609.1669535888528,0,0
45.0,626.5525296086578,0,0
46.0,643.9381056284627,0,0
47.0,661.3236816482677,0,0
48.0,678.7092576680726,0,0
49.0,696.0948336878776,0,0
50.0,713.4804097076825,0,0
51.0,730.8659857274874,0,0
52.0,748.2515617472924,0,0
53.0,765.6371377670973,0,1
54.0,783.0227137869023,0,1
55.0,800.4082898067072,0,2
56.0,817.7938658265122,0,2
57.0,835.1794418463171,0,2
58.0,852.565017866122,0,2
59.0,869.950593885927,0,2
60.0,887.3361699057319,0,2
61.0,904.7217459255369,0,2
62.0,922.1073219453418,0,2
63.0,939.4928979651468,0,2
64.0,956.8784739849517,0,2
65.0,974.2640500047567,0,2
66.0,991.6496260245616,0,2
67.0,9.035202044366542,0,2
68.0,26.42077806417145,0,2
69.0,43.80635408397636,0,2
70.0,61.19193010378127,0,2
71.0,78.57750612358618,0,2
72.0,95.96308214339109,0,2
73.0,113.348658163196,0,2
74.0,130.73423418300092,0,2
75.0,148.11981020280584,0,2
76.0,165.50538622261075,0,2
77.0,182.89096224241567,0,2
78.0,200.27653826222058,0,1
79.0,217.6621142820255,0,1
80.0,235.04769030183041,0,1
81.0,252.43326632163533,0,0
82.0,269.81884234144025,0,0
83.0,287.20441836124513,0,0
84.0,304.58999438105,0,0
85.0,321.9755704008549,0,0
86.0,339.3611464206598,0,0
87.0,356.7467224404647,0,0
88.0,374.13229846026957,0,0
89.0,391.51787448007445,0,0
90.0,408.90345049987934,0,0
91.0,426.2890265196842,0,0
92.0,443.6746025394891,0,0
93.0,461.060178559294,0,0
94.0,478.4457545790989,0,0
95.0,495.8313305989038,0,0
96.0,513.2169066187087,0,0
97.0,530.6024826385136,0,0
98.0,547.9880586583186,0,0
99.0,565.3736346781235,0,0
