time,x,y,in_or_out
0.0,988.2458315309974,0,2
0.0,5.413285448376655,0,2
1.0,22.58073936575587,0,2
2.0,39.74819328313509,0,2
3.0,56.9156472005143,0,2
4.0,74.08310111789352,0,2
5.0,91.25055503527274,0,2
6.0,108.41800895265196,0,2
7.0,125.58546287003118,0,2
8.0,142.75291678741038,0,2
9.0,159.9203707047896,0,2
10.0,177.08782462216882,0,2
11.0,194.25527853954804,0,2
12.0,211.42273245692726,0,1
13.0,228.59018637430648,0,1
14.0,245.7576402916857,0,1
15.0,262.9250942090649,0,0
16.0,280.0925481264441,0,0
17.0,297.2600020438233,0,0
18.0,314.4274559612025,0,0
19.0,331.5949098785817,0,0
20.0,348.7623637959609,0,0
21.0,365.92981771334007,0,0
22.0,383.09727163071926,0,0
23.0,400.26472554809845,0,0
24.0,417.43217946547765,0,0
25.0,434.59963338285684,0,0
26.0,451.767087300236,0,0
27.0,468.9345412176152,0,0
28.0,486.1019951349944,0,0
29.0,503.2694490523736,0,0
30.0,520.4369029697529,0,0
31.0,537.6043568871321,0,0
32.0,554.7718108045113,0,0
33.0,571.9392647218906,0,0
34.0,589.1067186392698,0,0
35.0,606.2741725566491,0,0
36.0,623.4416264740283,0,0
37.0,640.6090803914076,0,0
38.0,657.7765343087868,0,0
39.0,674.9439882261661,0,0
40.0,692.1114421435453,0,0
41.0,709.2788960609246,0,0
42.0,726.4463499783038,0,0
43.0,743.6138038956831,0,0
44.0,760.7812578130623,0,1
45.0,777.9487117304416,0,1
46.0,795.1161656478208,0,1
47.0,812.2836195652001,0,2
48.0,829.4510734825793,0,2
49.0,846.6185273999586,0,2
50.0,863.7859813173378,0,2
51.0,880.9534352347171,0,2
52.0,898.1208891520963,0,2
53.0,915.2883430694756,0,2
54.0,932.4557969868548,0,2
55.0,949.623250904234,0,2
56.0,966.7907048216133,0,2
57.0,983.9581587389926,0,2
58.0,1.1256126563717999,0,2
59.0,18.293066573751016,0,2
60.0,35.46052049113023,0,2
61.0,52.627974408509445,0,2
62.0,69.79542832588866,0,2
63.0,86.96288224326788,0,2
64.0,104.1303361606471,0,2
65.0,121.29779007802632,0,2
66.0,138.46524399540553,0,2
67.0,155.63269791278475,0,2
68.0,172.80015183016397,0,2
69.0,189.9676057475432,0,2
70.0,207.1350596649224,0,1
71.0,224.30251358230163,0,1
72.0,241.46996749968085,0,1
73.0,258.63742141706007,0,0
74.0,275.80487533443926,0,0
75.0,292.97232925181845,0,0
76.0,310.13978316919764,0,0
77.0,327.30723708657683,0,0
78.0,344.474691003956,0,0
79.0,361.6421449213352,0,0
80.0,378.8095988387144,0,0
81.0,395.9770527560936,0,0
82.0,413.1445066734728,0,0
83.0,430.311960590852,0,0
84.0,447.4794145082312,0,0
85.0,464.64686842561036,0,0
86.0,481.81432234298956,0,0
87.0,498.98177626036875,0,0
88.0,516.149230177748,0,0
89.0,533.3166840951272,0,0
90.0,550.4841380125065,0,0
91.0,567.6515919298857,0,0
92.0,584.819045847265,0,0
93.0,601.9864997646442,0,0
94.0,619.1539536820235,0,0
95.0,636.3214075994027,0,0
96.0,653.488861516782,0,0
97.0,670.6563154341612,0,0
98.0,687.8237693515405,0,0
99.0,704.9912232689197,0,0
100.0,722.158677186299,0,0
101.0,739.3261311036782,0,0
102.0,756.4935850210575,0,1
103.0,773.6610389384367,0,1
104.0,790.828492855816,0,1
105.0,807.9959467731952,0,2
106.0,825.1634006905745,0,2
107.0,842.3308546079537,0,2
108.0,859.498308525333,0,2
109.0,876.6657624427122,0,2
110.0,893.8332163600915,0,2
111.0,911.0006702774707,0,2
112.0,928.16812419485,0,2
113.0,945.3355781122292,0,2
114.0,962.5030320296084,0,2
115.0,979.6704859469877,0,2
116.0,996.837939864367,0,2
117.0,14.005393781746193,0,2
118.0,31.17284769912541,0,2
119.0,48.340301616504625,0,2
120.0,65.50775553388384,0,2
121.0,82.67520945126306,0,2
122.0,99.84266336864228,0,2
123.0,117.0101172860215,0,2
124.0,134.1775712034007,0,2
125.0,151.34502512077992,0,2
126.0,168.51247903815914,0,2
127.0,185.67993295553836,0,2
128.0,202.84738687291758,0,1
129.0,220.0148407902968,0,1
130.0,237.18229470767602,0,1
131.0,254.34974862505524,0,0
132.0,271.51720254243446,0,0
133.0,288.68465645981365,0,0
134.0,305.85211037719284,0,0
135.0,323.01956429457204,0,0
136.0,340.1870182119512,0,0
137.0,357.3544721293304,0,0
138.0,374.5219260467096,0,0
139.0,391.6893799640888,0,0
140.0,408.856833881468,0,0
141.0,426.0242877988472,0,0
142.0,443.1917417162264,0,0
143.0,460.35919563360557,0,0
144.0,477.52664955098476,0,0
145.0,494.69410346836395,0,0
146.0,511.86155738574314,0,0
147.0,529.0290113031224,0,0
148.0,546.1964652205016,0,0
149.0,563.3639191378809,0,0
150.0,580.5313730552601,0,0
151.0,597.6988269726394,0,0
152.0,614.8662808900186,0,0
153.0,632.0337348073979,0,0
154.0,649.2011887247771,0,0
155.0,666.3686426421564,0,0
156.0,683.5360965595356,0,0
157.0,700.7035504769149,0,0
158.0,717.8710043942941,0,0
159.0,735.0384583116734,0,0
160.0,752.2059122290526,0,1
161.0,769.3733661464319,0,1
162.0,786.5408200638111,0,1
163.0,803.7082739811904,0,2
164.0,820.8757278985696,0,2
165.0,838.0431818159489,0,2
166.0,855.2106357333281,0,2
167.0,872.3780896507074,0,2
168.0,889.5455435680866,0,2
169.0,906.7129974854658,0,2
170.0,923.8804514028451,0,2
171.0,941.0479053202243,0,2
172.0,958.2153592376036,0,2
173.0,975.3828131549828,0,2
174.0,992.5502670723621,0,2
175.0,9.717720989741338,0,2
176.0,26.885174907120554,0,2
177.0,44.05262882449977,0,2
178.0,61.22008274187898,0,2
179.0,78.3875366592582,0,2
180.0,95.55499057663742,0,2
181.0,112.72244449401664,0,2
182.0,129.88989841139585,0,2
183.0,147.05735232877507,0,2
184.0,164.2248062461543,0,2
185.0,181.3922601635335,0,2
186.0,198.55971408091273,0,2
187.0,215.72716799829195,0,1
188.0,232.89462191567117,0,1
189.0,250.0620758330504,0,0
190.0,267.2295297504296,0,0
191.0,284.3969836678088,0,0
192.0,301.564437585188,0,0
193.0,318.7318915025672,0,0
194.0,335.89934541994637,0,0
195.0,353.06679933732556,0,0
196.0,370.23425325470475,0,0
197.0,387.40170717208395,0,0
198.0,404.56916108946314,0,0
