time,x,y,in_or_out
0.0,779.4523128097629,0,1
0.0,796.3938255443746,0,1
1.0,813.3353382789863,0,2
2.0,830.276851013598,0,2
3.0,847.2183637482098,0,2
4.0,864.1598764828215,0,2
5.0,881.1013892174332,0,2
6.0,898.0429019520449,0,2
7.0,914.9844146866566,0,2
8.0,931.9259274212683,0,2
9.0,948.86744015588,0,2
10.0,965.8089528904917,0,2
11.0,982.7504656251034,0,2
12.0,999.6919783597151,0,2
13.0,16.633491094326814,0,2
14.0,33.57500382893856,0,2
15.0,50.51651656355031,0,2
16.0,67.45802929816206,0,2
17.0,84.39954203277381,0,2
18.0,101.34105476738556,0,2
19.0,118.2825675019973,0,2
20.0,135.22408023660904,0,2
21.0,152.16559297122078,0,2
22.0,169.1071057058325,0,2
23.0,186.04861844044424,0,2
24.0,202.99013117505598,0,1
25.0,219.9316439096677,0,1
26.0,236.87315664427945,0,1
27.0,253.81466937889118,0,0
28.0,270.7561821135029,0,0
29.0,287.6976948481147,0,0
30.0,304.63920758272644,0,0
31.0,321.5807203173382,0,0
32.0,338.52223305194997,0,0
33.0,355.46374578656173,0,0
34.0,372.4052585211735,0,0
35.0,389.34677125578526,0,0
36.0,406.288283990397,0,0
37.0,423.2297967250088,0,0
38.0,440.17130945962055,0,0
39.0,457.1128221942323,0,0
40.0,474.05433492884407,0,0
41.0,490.99584766345583,0,0
42.0,507.9373603980676,0,0
43.0,524.8788731326794,0,0
44.0,541.8203858672911,0,0
45.0,558.7618986019028,0,0
46.0,575.7034113365145,0,0
47.0,592.6449240711262,0,0
48.0,609.5864368057379,0,0
49.0,626.5279495403496,0,0
50.0,643.4694622749613,0,0
51.0,660.410975009573,0,0
52.0,677.3524877441847,0,0
53.0,694.2940004787964,0,0
54.0,711.2355132134081,0,0
55.0,728.1770259480198,0,0
56.0,745.1185386826315,0,0
57.0,762.0600514172432,0,1
58.0,779.001564151855,0,1
59.0,795.9430768864667,0,1
60.0,812.8845896210784,0,2
61.0,829.8261023556901,0,2
62.0,846.7676150903018,0,2
63.0,863.7091278249135,0,2
64.0,880.6506405595252,0,2
65.0,897.5921532941369,0,2
66.0,914.5336660287486,0,2
67.0,931.4751787633603,0,2
68.0,948.416691497972,0,2
69.0,965.3582042325837,0,2
70.0,982.2997169671954,0,2
71.0,999.2412297018071,0,2
72.0,16.182742436418835,0,2
73.0,33.12425517103058,0,2
74.0,50.06576790564233,0,2
75.0,67.00728064025408,0,2
76.0,83.94879337486583,0,2
77.0,100.89030610947758,0,2
78.0,117.83181884408933,0,2
79.0,134.77333157870106,0,2
80.0,151.7148443133128,0,2
81.0,168.65635704792453,0,2
82.0,185.59786978253626,0,2
83.0,202.539382517148,0,1
84.0,219.48089525175973,0,1
85.0,236.42240798637147,0,1
86.0,253.3639207209832,0,0
87.0,270.30543345559494,0,0
88.0,287.2469461902067,0,0
89.0,304.18845892481846,0,0
90.0,321.1299716594302,0,0
91.0,338.071484394042,0,0
92.0,355.01299712865375,0,0
93.0,371.9545098632655,0,0
94.0,388.8960225978773,0,0
95.0,405.83753533248904,0,0
96.0,422.7790480671008,0,0
97.0,439.72056080171257,0,0
98.0,456.6620735363243,0,0
99.0,473.6035862709361,0,0
100.0,490.54509900554785,0,0
101.0,507.4866117401596,0,0
102.0,524.4281244747714,0,0
103.0,541.3696372093831,0,0
104.0,558.3111499439948,0,0
105.0,575.2526626786065,0,0
106.0,592.1941754132182,0,0
107.0,609.1356881478299,0,0
108.0,626.0772008824416,0,0
109.0,643.0187136170533,0,0
110.0,659.960226351665,0,0
111.0,676.9017390862767,0,0
112.0,693.8432518208884,0,0
113.0,710.7847645555001,0,0
114.0,727.7262772901119,0,0
115.0,744.6677900247236,0,0
116.0,761.6093027593353,0,1
117.0,778.550815493947,0,1
118.0,795.4923282285587,0,1
119.0,812.4338409631704,0,2
120.0,829.3753536977821,0,2
121.0,846.3168664323938,0,2
122.0,863.2583791670055,0,2
123.0,880.1998919016172,0,2
124.0,897.1414046362289,0,2
125.0,914.0829173708406,0,2
126.0,931.0244301054523,0,2
127.0,947.965942840064,0,2
128.0,964.9074555746757,0,2
129.0,981.8489683092874,0,2
130.0,998.7904810438991,0,2
131.0,15.731993778510855,0,2
132.0,32.673506513122604,0,2
133.0,49.61501924773435,0,2
134.0,66.5565319823461,0,2
135.0,83.49804471695785,0,2
136.0,100.4395574515696,0,2
137.0,117.38107018618135,0,2
138.0,134.32258292079308,0,2
139.0,151.26409565540482,0,2
140.0,168.20560839001655,0,2
141.0,185.14712112462828,0,2
142.0,202.08863385924002,0,1
143.0,219.03014659385175,0,1
144.0,235.9716593284635,0,1
145.0,252.91317206307522,0,0
146.0,269.85468479768696,0,0
147.0,286.7961975322987,0,0
148.0,303.7377102669105,0,0
149.0,320.67922300152225,0,0
150.0,337.620735736134,0,0
151.0,354.56224847074577,0,0
