time,x,y,in_or_out
0.0,617.5562670570298,1,0
0.0,600.8745752289799,1,0
1.0,584.19288340093,1,0
2.0,567.5111915728801,1,0
3.0,550.8294997448302,1,0
4.0,534.1478079167803,1,0
5.0,517.4661160887304,1,0
6.0,500.7844242606804,1,0
7.0,484.10273243263043,1,0
8.0,467.42104060458047,1,0
9.0,450.7393487765305,1,0
10.0,434.05765694848054,1,0
11.0,417.3759651204306,1,0
12.0,400.6942732923806,1,0
13.0,384.01258146433065,1,0
14.0,367.3308896362807,1,0
15.0,350.6491978082307,1,0
16.0,333.96750598018076,1,0
17.0,317.2858141521308,1,0
18.0,300.60412232408083,1,0
19.0,283.92243049603087,1,0
20.0,267.2407386679809,1,0
21.0,250.55904683993094,1,0
22.0,233.87735501188098,1,1
23.0,217.19566318383102,1,1
24.0,200.51397135578105,1,1
25.0,183.8322795277311,1,2
26.0,167.15058769968113,1,2
27.0,150.46889587163116,1,2
28.0,133.7872040435812,1,2
29.0,117.10551221553123,1,2
30.0,100.42382038748127,1,2
31.0,83.74212855943131,1,2
32.0,67.06043673138134,1,2
33.0,50.37874490333138,1,2
34.0,33.69705307528142,1,2
35.0,17.015361247231453,1,2
36.0,0.33366941918148996,1,2
37.0,983.6519775911315,1,2
38.0,966.9702857630816,1,2
39.0,950.2885939350317,1,2
40.0,933.6069021069818,1,2
41.0,916.9252102789319,1,2
42.0,900.243518450882,1,2
43.0,883.5618266228321,1,2
44.0,866.8801347947822,1,2
45.0,850.1984429667323,1,2
46.0,833.5167511386824,1,2
47.0,816.8350593106325,1,2
48.0,800.1533674825826,1,2
49.0,783.4716756545326,1,1
50.0,766.7899838264827,1,1
51.0,750.1082919984328,1,1
52.0,733.4266001703829,1,0
53.0,716.744908342333,1,0
54.0,700.0632165142831,1,0
55.0,683.3815246862332,1,0
56.0,666.6998328581833,1,0
57.0,650.0181410301334,1,0
58.0,633.3364492020835,1,0
59.0,616.6547573740336,1,0
60.0,599.9730655459837,1,0
61.0,583.2913737179338,1,0
62.0,566.6096818898839,1,0
63.0,549.927990061834,1,0
64.0,533.246298233784,1,0
65.0,516.5646064057341,1,0
66.0,499.8829145776842,1,0
67.0,483.2012227496342,1,0
68.0,466.51953092158425,1,0
69.0,449.8378390935343,1,0
70.0,433.1561472654843,1,0
71.0,416.47445543743436,1,0
72.0,399.7927636093844,1,0
73.0,383.11107178133443,1,0
74.0,366.42937995328447,1,0
75.0,349.7476881252345,1,0
76.0,333.06599629718454,1,0
77.0,316.3843044691346,1,0
78.0,299.7026126410846,1,0
79.0,283.02092081303465,1,0
80.0,266.3392289849847,1,0
81.0,249.65753715693472,1,1
82.0,232.97584532888476,1,1
83.0,216.2941535008348,1,1
84.0,199.61246167278483,1,2
85.0,182.93076984473487,1,2
86.0,166.2490780166849,1,2
87.0,149.56738618863494,1,2
88.0,132.88569436058498,1,2
89.0,116.20400253253501,1,2
90.0,99.52231070448505,1,2
91.0,82.84061887643509,1,2
92.0,66.15892704838512,1,2
93.0,49.47723522033516,1,2
94.0,32.7955433922852,1,2
95.0,16.113851564235233,1,2
96.0,999.4321597361852,1,2
97.0,982.7504679081353,1,2
98.0,966.0687760800854,1,2
99.0,949.3870842520355,1,2
100.0,932.7053924239856,1,2
101.0,916.0237005959357,1,2
102.0,899.3420087678858,1,2
103.0,882.6603169398359,1,2
104.0,865.978625111786,1,2
105.0,849.296933283736,1,2
106.0,832.6152414556861,1,2
107.0,815.9335496276362,1,2
108.0,799.2518577995863,1,1
109.0,782.5701659715364,1,1
110.0,765.8884741434865,1,1
111.0,749.2067823154366,1,0
112.0,732.5250904873867,1,0
113.0,715.8433986593368,1,0
114.0,699.1617068312869,1,0
115.0,682.480015003237,1,0
116.0,665.7983231751871,1,0
117.0,649.1166313471372,1,0
118.0,632.4349395190873,1,0
119.0,615.7532476910374,1,0
120.0,599.0715558629875,1,0
121.0,582.3898640349375,1,0
122.0,565.7081722068876,1,0
123.0,549.0264803788377,1,0
124.0,532.3447885507878,1,0
125.0,515.6630967227379,1,0
126.0,498.98140489468796,1,0
127.0,482.299713066638,1,0
128.0,465.618021238588,1,0
129.0,448.93632941053806,1,0
130.0,432.2546375824881,1,0
131.0,415.57294575443814,1,0
132.0,398.8912539263882,1,0
133.0,382.2095620983382,1,0
134.0,365.52787027028825,1,0
135.0,348.8461784422383,1,0
136.0,332.1644866141883,1,0
137.0,315.48279478613836,1,0
138.0,298.8011029580884,1,0
139.0,282.11941113003843,1,0
140.0,265.43771930198847,1,0
141.0,248.7560274739385,1,1
142.0,232.07433564588854,1,1
143.0,215.39264381783858,1,1
144.0,198.7109519897886,1,2
145.0,182.02926016173865,1,2
