time,x,y,in_or_out
0.0,941.6098719005786,1,2
0.0,925.9021029414839,1,2
1.0,910.1943339823893,1,2
2.0,894.4865650232946,1,2
3.0,878.7787960641999,1,2
4.0,863.0710271051053,1,2
5.0,847.3632581460106,1,2
6.0,831.6554891869159,1,2
7.0,815.9477202278213,1,2
8.0,800.2399512687266,1,2
9.0,784.5321823096319,1,1
10.0,768.8244133505373,1,1
11.0,753.1166443914426,1,1
12.0,737.4088754323479,1,0
13.0,721.7011064732533,1,0
14.0,705.9933375141586,1,0
15.0,690.285568555064,1,0
16.0,674.5777995959693,1,0
17.0,658.8700306368746,1,0
18.0,643.16226167778,1,0
19.0,627.4544927186853,1,0
20.0,611.7467237595906,1,0
21.0,596.038954800496,1,0
22.0,580.3311858414013,1,0
23.0,564.6234168823066,1,0
24.0,548.915647923212,1,0
25.0,533.2078789641173,1,0
26.0,517.5001100050226,1,0
27.0,501.792341045928,1,0
28.0,486.0845720868334,1,0
29.0,470.3768031277388,1,0
30.0,454.6690341686442,1,0
31.0,438.9612652095496,1,0
32.0,423.253496250455,1,0
33.0,407.5457272913604,1,0
34.0,391.83795833226577,1,0
35.0,376.13018937317116,1,0
36.0,360.42242041407656,1,0
37.0,344.71465145498195,1,0
38.0,329.00688249588734,1,0
39.0,313.29911353679273,1,0
40.0,297.5913445776981,1,0
41.0,281.8835756186035,1,0
42.0,266.1758066595089,1,0
43.0,250.4680377004143,1,0
44.0,234.7602687413197,1,1
45.0,219.05249978222508,1,1
46.0,203.34473082313048,1,1
47.0,187.63696186403587,1,2
48.0,171.92919290494126,1,2
49.0,156.22142394584665,1,2
50.0,140.51365498675204,1,2
51.0,124.80588602765742,1,2
52.0,109.0981170685628,1,2
53.0,93.39034810946818,1,2
54.0,77.68257915037356,1,2
55.0,61.974810191278934,1,2
56.0,46.26704123218431,1,2
57.0,30.55927227308969,1,2
58.0,14.851503313995067,1,2
59.0,999.1437343549004,1,2
60.0,983.4359653958057,1,2
61.0,967.7281964367111,1,2
62.0,952.0204274776164,1,2
63.0,936.3126585185217,1,2
64.0,920.6048895594271,1,2
65.0,904.8971206003324,1,2
66.0,889.1893516412377,1,2
67.0,873.4815826821431,1,2
68.0,857.7738137230484,1,2
69.0,842.0660447639538,1,2
70.0,826.3582758048591,1,2
71.0,810.6505068457644,1,2
72.0,794.9427378866698,1,1
73.0,779.2349689275751,1,1
74.0,763.5271999684804,1,1
75.0,747.8194310093858,1,0
76.0,732.1116620502911,1,0
77.0,716.4038930911964,1,0
78.0,700.6961241321018,1,0
79.0,684.9883551730071,1,0
80.0,669.2805862139124,1,0
81.0,653.5728172548178,1,0
82.0,637.8650482957231,1,0
83.0,622.1572793366284,1,0
84.0,606.4495103775338,1,0
85.0,590.7417414184391,1,0
86.0,575.0339724593445,1,0
87.0,559.3262035002498,1,0
88.0,543.6184345411551,1,0
89.0,527.9106655820605,1,0
90.0,512.2028966229658,1,0
91.0,496.4951276638712,1,0
92.0,480.7873587047766,1,0
93.0,465.079589745682,1,0
94.0,449.37182078658736,1,0
95.0,433.66405182749276,1,0
96.0,417.95628286839815,1,0
97.0,402.24851390930354,1,0
98.0,386.54074495020893,1,0
99.0,370.8329759911143,1,0
100.0,355.1252070320197,1,0
101.0,339.4174380729251,1,0
102.0,323.7096691138305,1,0
103.0,308.0019001547359,1,0
104.0,292.2941311956413,1,0
105.0,276.5863622365467,1,0
106.0,260.87859327745207,1,0
107.0,245.17082431835746,1,1
108.0,229.46305535926285,1,1
109.0,213.75528640016825,1,1
110.0,198.04751744107364,1,2
111.0,182.33974848197903,1,2
112.0,166.63197952288442,1,2
113.0,150.9242105637898,1,2
114.0,135.2164416046952,1,2
115.0,119.50867264560058,1,2
116.0,103.80090368650596,1,2
117.0,88.09313472741134,1,2
118.0,72.38536576831672,1,2
119.0,56.677596809222095,1,2
120.0,40.96982785012747,1,2
121.0,25.26205889103285,1,2
122.0,9.554289931938229,1,2
123.0,993.8465209728436,1,2
124.0,978.1387520137489,1,2
125.0,962.4309830546542,1,2
126.0,946.7232140955596,1,2
127.0,931.0154451364649,1,2
128.0,915.3076761773702,1,2
129.0,899.5999072182756,1,2
130.0,883.8921382591809,1,2
131.0,868.1843693000862,1,2
132.0,852.4766003409916,1,2
133.0,836.7688313818969,1,2
134.0,821.0610624228023,1,2
135.0,805.3532934637076,1,2
136.0,789.6455245046129,1,1
137.0,773.9377555455183,1,1
138.0,758.2299865864236,1,1
139.0,742.5222176273289,1,0
140.0,726.8144486682343,1,0
141.0,711.1066797091396,1,0
142.0,695.3989107500449,1,0
143.0,679.6911417909503,1,0
144.0,663.9833728318556,1,0
145.0,648.2756038727609,1,0
146.0,632.5678349136663,1,0
147.0,616.8600659545716,1,0
148.0,601.152296995477,1,0
149.0,585.4445280363823,1,0
150.0,569.7367590772876,1,0
151.0,554.028990118193,1,0
152.0,538.3212211590983,1,0
153.0,522.6134522000036,1,0
154.0,506.905683240909,1,0
155.0,491.1979142818144,1,0
156.0,475.4901453227198,1,0
157.0,459.7823763636252,1,0
158.0,444.0746074045306,1,0
159.0,428.366838445436,1,0
160.0,412.65906948634137,1,0
