time,x,y,in_or_out
0.0,862.7789547389118,1,2
0.0,846.8360316546394,1,2
1.0,830.8931085703671,1,2
2.0,814.9501854860947,1,2
3.0,799.0072624018223,1,1
4.0,783.06433931755,1,1
5.0,767.1214162332776,1,1
6.0,751.1784931490052,1,1
7.0,735.2355700647329,1,0
8.0,719.2926469804605,1,0
9.0,703.3497238961882,1,0
10.0,687.4068008119158,1,0
11.0,671.4638777276434,1,0
12.0,655.520954643371,1,0
13.0,639.5780315590987,1,0
14.0,623.6351084748263,1,0
15.0,607.692185390554,1,0
16.0,591.7492623062816,1,0
17.0,575.8063392220092,1,0
18.0,559.8634161377369,1,0
19.0,543.9204930534645,1,0
20.0,527.9775699691921,1,0
21.0,512.0346468849198,1,0
22.0,496.0917238006474,1,0
23.0,480.14880071637504,1,0
24.0,464.20587763210267,1,0
25.0,448.2629545478303,1,0
26.0,432.32003146355794,1,0
27.0,416.3771083792856,1,0
28.0,400.4341852950132,1,0
29.0,384.49126221074084,1,0
30.0,368.5483391264685,1,0
31.0,352.6054160421961,1,0
32.0,336.66249295792375,1,0
33.0,320.7195698736514,1,0
34.0,304.776646789379,1,0
35.0,288.83372370510665,1,0
36.0,272.8908006208343,1,0
37.0,256.9478775365619,1,0
38.0,241.00495445228952,1,1
39.0,225.06203136801713,1,1
40.0,209.11910828374474,1,1
41.0,193.17618519947234,1,2
42.0,177.23326211519995,1,2
43.0,161.29033903092756,1,2
44.0,145.34741594665516,1,2
45.0,129.40449286238277,1,2
46.0,113.46156977811039,1,2
47.0,97.51864669383801,1,2
48.0,81.57572360956563,1,2
49.0,65.63280052529325,1,2
50.0,49.68987744102086,1,2
51.0,33.746954356748475,1,2
52.0,17.804031272476088,1,2
53.0,1.861108188203703,1,2
54.0,985.9181851039314,1,2
55.0,969.975262019659,1,2
56.0,954.0323389353866,1,2
57.0,938.0894158511143,1,2
58.0,922.1464927668419,1,2
59.0,906.2035696825695,1,2
60.0,890.2606465982972,1,2
61.0,874.3177235140248,1,2
62.0,858.3748004297524,1,2
63.0,842.4318773454801,1,2
64.0,826.4889542612077,1,2
65.0,810.5460311769353,1,2
66.0,794.603108092663,1,1
