time,x,y,in_or_out
0.0,170.31931758260262,0,2
0.0,187.79731581694418,0,2
1.0,205.27531405128573,0,1
2.0,222.7533122856273,0,1
3.0,240.23131051996884,0,1
4.0,257.7093087543104,0,0
5.0,275.187306988652,0,0
6.0,292.66530522299354,0,0
7.0,310.1433034573351,0,0
8.0,327.62130169167665,0,0
9.0,345.0992999260182,0,0
10.0,362.57729816035976,0,0
11.0,380.0552963947013,0,0
12.0,397.53329462904287,0,0
13.0,415.0112928633844,0,0
14.0,432.489291097726,0,0
15.0,449.96728933206754,0,0
16.0,467.4452875664091,0,0
17.0,484.92328580075065,0,0
18.0,502.4012840350922,0,0
19.0,519.8792822694338,0,0
20.0,537.3572805037754,0,0
21.0,554.835278738117,0,0
22.0,572.3132769724587,0,0
23.0,589.7912752068003,0,0
24.0,607.2692734411419,0,0
25.0,624.7472716754835,0,0
26.0,642.2252699098251,0,0
27.0,659.7032681441667,0,0
28.0,677.1812663785083,0,0
29.0,694.6592646128499,0,0
30.0,712.1372628471916,0,0
31.0,729.6152610815332,0,0
32.0,747.0932593158748,0,0
33.0,764.5712575502164,0,1
34.0,782.049255784558,0,1
35.0,799.5272540188996,0,1
36.0,817.0052522532412,0,2
37.0,834.4832504875828,0,2
38.0,851.9612487219244,0,2
39.0,869.4392469562661,0,2
40.0,886.9172451906077,0,2
41.0,904.3952434249493,0,2
42.0,921.8732416592909,0,2
43.0,939.3512398936325,0,2
44.0,956.8292381279741,0,2
45.0,974.3072363623157,0,2
46.0,991.7852345966573,0,2
47.0,9.263232830998959,0,2
48.0,26.741231065340525,0,2
49.0,44.21922929968209,0,2
50.0,61.697227534023654,0,2
51.0,79.17522576836522,0,2
52.0,96.65322400270679,0,2
53.0,114.13122223704836,0,2
54.0,131.60922047138993,0,2
55.0,149.0872187057315,0,2
56.0,166.56521694007304,0,2
57.0,184.0432151744146,0,2
58.0,201.52121340875615,0,1
59.0,218.9992116430977,0,1
60.0,236.47720987743926,0,1
61.0,253.95520811178082,0,0
62.0,271.4332063461224,0,0
63.0,288.91120458046396,0,0
64.0,306.3892028148055,0,0
65.0,323.86720104914707,0,0
66.0,341.3451992834886,0,0
67.0,358.8231975178302,0,0
68.0,376.30119575217174,0,0
69.0,393.7791939865133,0,0
70.0,411.25719222085485,0,0
71.0,428.7351904551964,0,0
72.0,446.21318868953796,0,0
73.0,463.6911869238795,0,0
74.0,481.16918515822107,0,0
75.0,498.6471833925626,0,0
76.0,516.1251816269042,0,0
77.0,533.6031798612458,0,0
78.0,551.0811780955875,0,0
79.0,568.5591763299291,0,0
80.0,586.0371745642707,0,0
81.0,603.5151727986123,0,0
82.0,620.9931710329539,0,0
83.0,638.4711692672955,0,0
84.0,655.9491675016371,0,0
85.0,673.4271657359787,0,0
86.0,690.9051639703204,0,0
87.0,708.383162204662,0,0
88.0,725.8611604390036,0,0
89.0,743.3391586733452,0,0
90.0,760.8171569076868,0,1
91.0,778.2951551420284,0,1
